Report generated on: 05-30-2026 14:38:45
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"INTL.4418-2-DZA-QBTU.A","            Renewables and other (quad Btu)","0.0008769191250157291","0.0012931992711923143","0.0015286431341026436","0.00073361300051881","0.002002917082694017","0.0020541145035687536","0.0007847949833826012","0.0015047615418658186","0.000717064472909141","0.0007269565642246002","0.0001579320182845439","-0.0012589631074931553","-0.0025124988253613575","-0.002889115843113214","-0.0032741440753508346","-0.00028443931081520955","0.0009160715005829293","0.001081461319980361","0.0015643955193890336","0.0010646523321953877","0.001110068409268773","0.0024282655268755946","0.0024900904194018122","0.002679517052819467","0.002534211141907262","0.004657643765099714","0.0039134466165207295","0.004906328367134058","0.005028417654793882","0.007351541341235033","0.009958466982855393","0.013504067827496035","0.013749985331217508","0.008389606834239222","0.00682805579720662","0.00504321924342914","0.0031178451244608203","0.0086225179791958","0.010515367998579267","0.012350853083968315","0.009009263437504732","0.008280776175125872","-0.0018590505226854025","0.0012268304171038804","-0.00017686800994282318"
"","American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-2-ASM-QBTU.A","    Consumption (quad Btu)","0.0058931124","0.00692647725","0.0096550895","0.00608690425","0.0069454539","0.00650669075","0.006716584","0.0069730088735","0.0067788142464","0.007806191271","0.008210538271","0.008210538271","0.0084455186982","0.008216195771","0.008003583271","0.007790970771","0.0078116066982","0.008003583271","0.008003583271","0.0080035935","0.007837103119999992","0.00783710312000001","0.007967311610000008","0.007967311610000008","0.007967311610000001","0.008463481349999993","0.0086069555","0.0086069555","0.0086305362","0.0086069555","0.00808964889796125","0.00672643952806375","0.006765368473093315","0.006728918352010006","0.006378265155525006","0.006378265155525006","0.0063991332995478835","0.0063885015804243895","0.00638892532988269","0.00641499804328019","0.00622047374759316","0.00632047576327469","0.00632059531854055","0.00643537010949844","0.007910599131818553"
"INTL.4411-2-ASM-QBTU.A","        Coal (quad Btu)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4413-2-ASM-QBTU.A","        Natural gas (quad Btu)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4415-2-ASM-QBTU.A","        Petroleum and other liquids (quad Btu)","0.0058931124","0.00692647725","0.0096550895","0.00608690425","0.0069454539","0.00650669075","0.006716584","0.0069730088735","0.0067788142464","0.007806191271","0.008210538271","0.008210538271","0.0084455186982","0.008216195771","0.008003583271","0.007790970771","0.0078116066982","0.008003583271","0.008003583271","0.0080035935","0.007837103119999992","0.00783710312000001","0.007967311610000008","0.007967311610000008","0.007967311610000001","0.008463481349999993","0.0086069555","0.0086069555","0.0086305362","0.0086069555","0.00808964889796125","0.00672643952806375","0.0067622975456235","0.00672209406874375","0.00637144087225875","0.00637144087225875","0.0063888968746485","0.00637144087225875","0.00637186462171705","0.00639793733511455","0.00620341303942752","0.00630341505510905","0.006303373727896908","0.0064183094013328","0.007891140332979593"
"INTL.4419-2-ASM-QBTU.A","        Nuclear, renewables, and other (quad Btu)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000003070927469815146","0.00000682428326625588","0.00000682428326625588","0.00000682428326625588","0.00001023642489938382","0.0000170607081656397","0.0000170607081656397","0.0000170607081656397","0.0000170607081656397","0.0000170607081656397","0.000017221590643641682","0.0000170607081656397","0.00001945879883895998"
"INTL.4417-2-ASM-QBTU.A","            Nuclear (quad Btu)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4418-2-ASM-QBTU.A","            Renewables and other (quad Btu)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000003070927469815146","0.00000682428326625588","0.00000682428326625588","0.00000682428326625588","0.00001023642489938382","0.0000170607081656397","0.0000170607081656397","0.0000170607081656397","0.0000170607081656397","0.0000170607081656397","0.000017221590643641682","0.0000170607081656397","0.00001945879883895998"
"","Angola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-2-AGO-QBTU.A","    Consumption (quad Btu)","0.05466894128814558","0.05413203170830245","0.057782781452463954","0.062032281282306506","0.055677985887127905","0.06954578078018535","0.06821090947786444","0.07051095197786444","0.07293342227786444","0.07030120296929633","0.07458991586331766","0.07841905326768647","0.07890260028876245","0.07704702857878572","0.07498503698695136","0.080846745495117","0.0772658021359452","0.0880269160042888","0.07741036297315121","0.08831851814531823","0.10461773595035859","0.11328804268315915","0.12049765448433317","0.1339614714710259","0.14584816191123032","0.11947127951351218","0.15128957110892544","0.17805249807720241","0.20753551330858158","0.2399838659948353","0.26062387362020406","0.27259565013790804","0.2937827894928404","0.31874726216082766","0.3522256654651695","0.3701852952427253","0.3316891994988833","0.2861909842255733","0.3208165239427715","0.33347359721087133","0.26553583698769734","0.2981041237092074","0.33307821921170333","0.3373364835272314","0.3438235896089055"
"INTL.4411-2-AGO-QBTU.A","        Coal (quad Btu)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
